catalogue_index,source_id,slug,name,source_group,catalogue_task,catalogue_class_count,catalogue_species_count,catalogue_image_count,observation_scale,environment,target_species,data_url,data_doi,homepage_url,recorded_data_url,mapping_sheet,release_status,mapped_samples,mapped_classes,train,val,test,dataset_license,license_status,license_evidence_url,license_checked_on,notes,citekey,reference_type,reference_title,reference_authors,reference_year,reference_venue,reference_doi,reference_url,reference_verification,additional_citekeys
27,DeepWeeds,deepweeds,DeepWeeds,crop_weed,Classification,8,8,17509,Whole-plant,Outdoor,8 Weeds,https://www.kaggle.com/datasets/imsparsh/deepweeds,,https://www.kaggle.com/datasets/imsparsh/deepweeds,https://www.kaggle.com/datasets/imsparsh/deepweeds,DeepWeeds,mapped,8403,8,5878,837,1688,unknown,unknown,,,,olsenDeepWeeds2019,article,DeepWeeds: A Multiclass Weed Species Image Dataset for Deep Learning,"Olsen, Alex and Konovalov, Dmitry A. and Philippa, Bronson and Ridd, Peter and Wood, Jake C. and Johns, Jamie and Banks, Wesley and Girgenti, Benjamin and Kenny, Owen and Whinney, James and Calvert, Brendan and Azghadi, Mostafa Rahimi and White, Ronald D.",2019,Sci. Rep.,10.1038/s41598-018-38343-3,https://doi.org/10.1038/s41598-018-38343-3,verified,
28,CWID15,cwid15,CottonWeedID15,crop_weed,Classification,15,15,5187,Whole-plant,Outdoor,15 Weeds,https://www.kaggle.com/datasets/yuzhenlu/cottonweedid15,,https://www.kaggle.com/datasets/yuzhenlu/cottonweedid15,https://www.kaggle.com/datasets/yuzhenlu/cottonweedid15,CWID15,mapped,1785,8,1246,175,364,unknown,unknown,,,,chenPerformance2022,article,Performance Evaluation of Deep Transfer Learning on Multi-Class Identification of Common Weed Species in Cotton Production Systems,"Chen, Dong and Lu, Yuzhen and Li, Zhaojian and Young, Sierra",2022,Comput. Electron. Agric.,10.1016/j.compag.2022.107091,https://doi.org/10.1016/j.compag.2022.107091,verified,
29,WeedNet-R,weednet-r,SugarBeet2016,crop_weed,Detection,2,1,4817,Whole-plant,Outdoor,"Sugar beet, weeds",https://github.com/GOOJJJ/WeedNet-R/,,https://github.com/GOOJJJ/WeedNet-R/,https://github.com/GOOJJJ/WeedNet-R/,WeedNet-R,mapped,6524,1,4566,652,1306,unknown,unknown,,,SugarBeet2016 in the catalogue corresponds to the WeedNet-R adapter and worksheet. The WeedNet-R repository acknowledges Sugar Beets 2016 as its upstream source. OpenPlant samples are object crops and can outnumber original images.,guoWeedNetRSugarBeet2023,article,WeedNet-R: A Sugar Beet Field Weed Detection Algorithm Based on Enhanced RetinaNet and Context Semantic Fusion,"Guo, Zhiqiang and Goh, Hui Hwang and Li, Xiuhua and Zhang, Muqing and Li, Yong",2023,Front. Plant Sci.,10.3389/fpls.2023.1226329,https://doi.org/10.3389/fpls.2023.1226329,verified,
30,CWD30,cwd30,CWD30,crop_weed,Classification,30,30,219770,Whole-plant,mixed,"10 crops, 20 weeds",https://github.com/Mr-TalhaIlyas/CWD30,,https://github.com/mr-talhailyas/cwd30,https://github.com/mr-talhailyas/cwd30,CWD30,mapped,122427,30,85687,12233,24507,unknown,unknown,,,,ilyasCWD302025,article,CWD30: A New Benchmark Dataset for Crop Weed Recognition in Precision Agriculture,"Ilyas, Talha and Arsa, Dewa Made Sri and Ahmad, Khubaib and Lee, Jonghoon and Won, Okjae and Lee, Hyeonsu and Kim, Hyongsuk and Park, Dong Sun",2025,Comput. Electron. Agric.,10.1016/j.compag.2024.109737,https://doi.org/10.1016/j.compag.2024.109737,verified,
31,PlantSeedlings,plantseedlings,Plant Seedlings Classification,crop_weed,Classification,12,12,5545,Whole-plant,Controlled,"3 crops, 9 weeds",https://vision.eng.au.dk/plant-seedlings-dataset/,,https://vision.eng.au.dk/plant-seedlings-dataset/,https://vision.eng.au.dk/plant-seedlings-dataset/,PlantSeedlings,mapped,5539,12,3872,548,1119,CC-BY-SA-4.0,declared_on_dataset_page,https://vision.eng.au.dk/plant-seedlings-dataset/,2026-09-12,"The adapter reads NonsegmentedV2 (cropped, nonsegmented single plants). Use the V2 link on the official dataset page.",giselssonPublicImageDatabase2017,misc,A Public Image Database for Benchmark of Plant Seedling Classification Algorithms,"Giselsson, Thomas Mosgaard and Jørgensen, Rasmus Nyholm and Jensen, Peter Kryger and Dyrmann, Mads and Midtiby, Henrik Skov",2017,arXiv,10.48550/arXiv.1711.05458,https://doi.org/10.48550/arXiv.1711.05458,verified,
32,plantnet_300K,plantnet-300k,PlantNet-300K,general_plant,Classification,1081,1081,306146,Whole-plant,Outdoor,mixed,https://zenodo.org/records/5645731,10.5281/zenodo.5645731,https://github.com/plantnet/PlantNet-300K,https://github.com/plantnet/PlantNet-300K,plantnet_300K,mapped,306146,1021,213772,30413,61961,CC-BY-4.0,declared_in_datacite_record,https://api.datacite.org/dois/10.5281/zenodo.5645731,2026-09-12,"The manuscript cites Zenodo record 5645731 (V1.1), whose DataCite record declares CC BY 4.0 at deposit level. The official repository also supplies the NeurIPS 2021 paper and per-image author/license metadata. Preserve those image-level terms. The 1,081 upstream labels correspond to 1,021 distinct class names in the released mapping after name standardization.",garcinPlntNet300KImageDataset2021,misc,Pl@ntNet-300K Image Dataset,"Garcin, Camille and Joly, Alexis and Bonnet, Pierre and Affouard, Antoine and Jean-Christophe Lombardo and Chouet, Mathias and Servajean, Maximilien and Titouan Lorieul and Salmon, Joseph",2021,Zenodo,10.5281/ZENODO.5645731,https://doi.org/10.5281/ZENODO.5645731,verified,garcinPlantNetPaper2021
33,Early_crop_weed,early-crop-weed,early-crop-weed,crop_weed,Classification,4,4,508,Whole-plant,Outdoor,"2 crops, 2 weeds",https://github.com/AUAgroup/early-crop-weed,,https://github.com/AUAgroup/early-crop-weed,https://github.com/AUAgroup/early-crop-weed,Early_crop_weed,mapped,508,4,354,50,104,unknown,unknown,,,,auagroupAUAgroup2024,misc,AUAgroup/Early-Crop-Weed,AUAgroup,2024,,,https://github.com/AUAgroup/early-crop-weed,manuscript_bibliography,
34,OPPD,oppd,Open Plant Phenotyping Database,crop_weed,Classification,47,47,315038,Whole-plant,Controlled,46 weeds,https://vision.eng.au.dk/open-plant-phenotyping-database/,,https://vision.eng.au.dk/open-plant-phenotyping-database/,https://vision.eng.au.dk/open-plant-phenotyping-database/,OPPD,mapped,97962,47,68553,9772,19637,CC-BY-NC-SA-4.0,declared_on_dataset_page,https://vision.eng.au.dk/open-plant-phenotyping-database/,2026-09-12,"The upstream site describes 7,590 RGB images containing 315,038 plant objects. The catalogue's 315,038 therefore counts objects. OpenPlant uses selected individual-plant images recorded under images_plants.",leminenmadsenOpen2020,article,Open Plant Phenotype Database of Common Weeds in Denmark,"Leminen Madsen, Simon and Mathiassen, Solvejg Kopp and Dyrmann, Mads and Laursen, Morten Stigaard and Paz, Laura-Carlota and Jørgensen, Rasmus Nyholm",2020,Remote Sens.,10.3390/rs12081246,https://doi.org/10.3390/rs12081246,verified,
35,CottonWeedDet3,cottonweeddet3,CottonWeedDet3,crop_weed,Detection,3,3,848,Whole-plant,Outdoor,3 weeds,https://www.kaggle.com/datasets/yuzhenlu/cottonweeddet3,,https://www.kaggle.com/datasets/yuzhenlu/cottonweeddet3,https://www.kaggle.com/datasets/yuzhenlu/cottonweeddet3,,catalogue_only,,,,,,unknown,unknown,,,"Listed in the historical catalogue and manuscript Table 1, but no separately named worksheet or adapter registration occurs in the recovered release mapping/build registry. No contribution can be assigned from that evidence; the reason is unresolved.",rahmanPerformance2023,article,Performance Evaluation of Deep Learning Object Detectors for Weed Detection for Cotton,"Rahman, Abdur and Lu, Yuzhen and Wang, Haifeng",2023,Smart Agric. Technol.,10.1016/j.atech.2022.100126,https://doi.org/10.1016/j.atech.2022.100126,verified,
36,weed-datasets,weed-datasets,weed-datasets,crop_weed,Classification,7,6,6793,Whole-plant,Outdoor,"Corn, lettuce, 4 weeds ",https://github.com/zhangchuanyin/weed-datasets,,https://github.com/zhangchuanyin/weed-datasets,https://github.com/zhangchuanyin/weed-datasets,weed-datasets,mapped,6699,7,4688,669,1342,unknown,unknown,,,,zhangchuanyinZhangchuanyin2023,misc,Zhangchuanyin/Weed-Datasets,zhangchuanyin,2023,,,https://github.com/zhangchuanyin/weed-datasets,manuscript_bibliography,
37,Carrot-Weed,carrot-weed,Carrot-Weed,crop_weed,Segmentation,2,1,401,Whole-plant,Outdoor,"Carrot, weed",https://github.com/lameski/rgbweeddetection,,https://github.com/lameski/rgbweeddetection,https://github.com/lameski/rgbweeddetection,,catalogue_only,,,,,,unknown,unknown,,,"Listed in the historical catalogue and manuscript Table 1, but no separately named worksheet or adapter registration occurs in the recovered release mapping/build registry. No contribution can be assigned from that evidence; the reason is unresolved.",lameskiWeedDetectionDataset2017,inproceedings,Weed Detection Dataset with RGB Images Taken under Variable Light Conditions,"Lameski, Petre and Zdravevski, Eftim and Trajkovik, Vladimir and Kulakov, Andrea",2017,ICT Innovations 2017,10.1007/978-3-319-67597-8_11,https://doi.org/10.1007/978-3-319-67597-8_11,verified,
38,VCD,vcd,Vegetable Crops Dataset for Proximal Sensing (VCD),crop_weed,Detection,3,3,2182,Whole-plant,Outdoor,"Maize, bean, leek",https://data.mendeley.com/datasets/d7kbzjr83k/1,10.17632/d7kbzjr83k.1,https://data.mendeley.com/datasets/d7kbzjr83k/1,https://data.mendeley.com/datasets/d7kbzjr83k/1,VCD,mapped,4009,3,2805,399,805,CC-BY-4.0,declared_on_dataset_page,https://data.mendeley.com/datasets/d7kbzjr83k/1,2026-09-12,,lacAnnotated2022,article,An Annotated Image Dataset of Vegetable Crops at an Early Stage of Growth for Proximal Sensing Applications,"Lac, Louis and Keresztes, Barna and Louargant, Marine and Donias, Marc and Da Costa, Jean-Pierre",2022,Data Brief,10.1016/j.dib.2022.108035,https://doi.org/10.1016/j.dib.2022.108035,verified,
39,SorghumWeed,sorghumweed,SorghumWeedDataset_Classification,crop_weed,Classification,3,1,4312,Whole-plant,Outdoor,"Sorghum, weeds",https://data.mendeley.com/datasets/4gkcyxjyss/1,10.17632/4gkcyxjyss.1,https://data.mendeley.com/datasets/4gkcyxjyss/1,https://data.mendeley.com/datasets/4gkcyxjyss/1,SorghumWeed,mapped,1404,1,982,140,282,CC-BY-4.0,declared_on_dataset_page,https://data.mendeley.com/datasets/4gkcyxjyss/1,2026-09-12,"Only the 1,404 sorghum samples are represented in the mapping; the upstream generic grasses/broad-leaf weed classes are not represented as separate OpenPlant taxa.",justinaSorghumWeedDataset_Classification2024,article,"SorghumWeedDataset_Classification and SorghumWeedDataset_Segmentation Datasets for Classification, Detection, and Segmentation in Deep Learning","Justina, Michael J. and Thenmozhi, M.",2024,Data Brief,10.1016/j.dib.2023.109935,https://doi.org/10.1016/j.dib.2023.109935,verified,
40,ImageWeeds,imageweeds,ImageWeeds,crop_weed,Detection,5,4,3975,Whole-plant,Controlled,4 weeds,https://data.mendeley.com/datasets/8kjcztbjz2/2,10.17632/8kjcztbjz2.2,https://data.mendeley.com/datasets/8kjcztbjz2/2,https://data.mendeley.com/datasets/8kjcztbjz2/2,ImageWeeds,mapped,4509,4,3155,449,905,CC-BY-4.0,declared_in_datacite_record,https://api.datacite.org/dois/10.17632/8kjcztbjz2.2,2026-09-12,The recorded Mendeley V2 link returned a page without dataset metadata during review; its DataCite DOI record confirms the deposit and CC BY 4.0 declaration. Use the linked Data in Brief article for access information if the deposit page is unavailable.,raiMultiformat2023,article,Multi-Format Open-Source Weed Image Dataset for Real-Time Weed Identification in Precision Agriculture,"Rai, Nitin and Mahecha, Maria Villamil and Christensen, Annika and Quanbeck, Jamison and Zhang, Yu and Howatt, Kirk and Ostlie, Michael and Sun, Xin",2023,Data Brief,10.1016/j.dib.2023.109691,https://doi.org/10.1016/j.dib.2023.109691,verified,
41,TobSet,tobset,TobSet,crop_weed,Detection,2,1,8000,Whole-plant,Outdoor,"Tobacco, weeds",https://github.com/mshahabalam/TobSet,,https://github.com/mshahabalam/TobSet,https://github.com/mshahabalam/TobSet,TobSet,mapped,7458,1,5220,745,1493,unknown,unknown,,,,alamTobSet2022,article,TobSet: A New Tobacco Crop and Weeds Image Dataset and Its Utilization for Vision-Based Spraying by Agricultural Robots,"Alam, Muhammad Shahab and Alam, Mansoor and Tufail, Muhammad and Khan, Muhammad Umer and Güneş, Ahmet and Salah, Bashir and Nasir, Fazal E. and Saleem, Waqas and Khan, Muhammad Tahir",2022,Appl. Sci.,10.3390/app12031308,https://doi.org/10.3390/app12031308,verified,
